Reference,Value,Footprint,Datasheet,Description,Digikey part number,Manufaturer Part Number,Manufaturer,Qty,UNIT_PRICE,10_UNIT_PRICE,100_UNIT_PRICE,1000_UNIT_PRICE
">  J4, J7",Conn_1x4,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,https://www.digikey.com/product-detail/en/amphenol-icc-fci/68000-404HLF/609-3262-ND/1878463,CONN HEADER VERT 4POS 2.54MM,609-3262-ND,68000-404HLF,Amphenol ICC (FCI),2,19.65,183.62,1270.99,8800.24
    J5,PJ-202H PWRJACK,Aardonyx:Pwr_Jack_DC_PJ-202AH_Horizontal,https://www.digikey.com/products/en?keywords=PJ-202AH,CONN PWR JACK 2X5.5MM KINKED PIN,CP-202AH-ND,PJ-202AH,CUI Devices,1,55.92,525.93,4031.88,28924.37
">  J10, J11, J14",Conn_1x6_F,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,https://www.digikey.com/product-detail/en/amphenol-icc-fci/75915-306LF/609-3558-ND/1523584,CONN RCPT 6POS 0.1 GOLD PCB,609-3558-ND,75915-306LF,Amphenol ICC (FCI),3,71.78,628.66,5420.67,39424.19
    J15,Conn_1x10,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical,https://www.digikey.com/product-detail/en/amphenol-icc-fci/68685-310LF/609-3584-ND/1525202,CONN RCPT 10POS 0.1 GOLD PCB,609-3584-ND,68685-310LF,Amphenol ICC (FCI),1,282.59,2714.87,22624.18,164025.65
">  J13, J16",Conn_1x8_F,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,https://www.digikey.com/products/en?keywords=%0968685-308LF,CONN RCPT 8POS 0.1 GOLD PCB,609-3589-ND,68685-308LF,Amphenol ICC (FCI),2,218.37,2093.01,17439.25,126434.55
    J17,USB_OTG,Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,https://www.digikey.com/product-detail/en/amphenol-icc-fci/10118194-0001LF/609-4618-1-ND/2785382,CONN RCPT USB2.0 MICRO B SMD R/A,609-4618-1-ND,10118194-0001LF,Amphenol ICC (FCI),1,32.49,306.02,2347.65,NA
    L1,CM3421Y600R-10,Aardonyx:L_Laird_L9.55_W2.84,https://www.digikey.com/product-detail/en/laird-signal-integrity-products/CM3421Y600R-10/240-2501-1-ND/935987,CMC 15A 2LN 60 OHM SMD,240-2501-1-ND,CM3421Y600R-10,Laird-Signal Integrity Products,1,66.49,614.3,4440.66,30236.09
    L2,3.3UH,Inductor_SMD:L_Wuerth_WE-PD-Typ-LS,https://www.digikey.com/product-detail/en/w%C3%BCrth-elektronik/78477033/732-6781-2-ND/5168775,FIXED IND 3.3UH 6.6A 17 MOHM SMD,732-6781-2-ND,78477033,Wurth Elektronik,1,NA,NA,NA,NA
">  P_R1, P_R2","0.02E,2512",Resistor_SMD:R_2512_6332Metric,https://www.digikey.com/product-detail/en/yageo/PA2512FKF7W0R002E/YAG2142CT-ND/5139590,RES 0.002 OHM 1% 2W 2512,YAG2142CT-ND,PA2512FKF7W0R002E,Yageo,2,44.58,374.78,2515.39,14716.07
">  P_R39, P_R40","0E, 0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/product-detail/en/vishay-dale/CRCW08050000Z0EA/541-0-0ACT-ND/1180267, RES SMD 0 OHM JUMPER 1/8W 0805 , 541-0.0ACT-ND , CRCW08050000Z0EA ,Vishay Dale,2,7.56,30.22,122.41,550.83
    P_R41,"169KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB1693V/P169KDACT-ND/3074985,RES 169K OHM 0.1% 1/8W 0805,P169KDACT-ND,ERA-6AEB1693V,Panasonic Electronic Components,1,25.69,217.61,850.81,3560.39
">  P_R42, P_R50","30.1KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB3012V/P30-1KDACT-ND/3075076,RES 30.1K OHM 0.1% 1/8W 0805,P30.1KDACT-ND,ERA-6AEB3012V,Panasonic Electronic Components,2,27.2,228.19,893.12,3738.71
">  P_R25, P_R26, P_R38, P_R43","10KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,4,7.56,30.22,123.16,552.34
    P_R44,"220E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC1206JR-07120RL/311-120ERCT-ND/732162,RES SMD 120 OHM 1% 1/16W 0402,311-120LRCT-ND,RC0402FR-07120RL,Yageo,1,7.56,46.09,188.14,844.76
    P_R49,"78.7KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB7872V/P78-7KDACT-ND/3075252,RES 78.7K OHM 0.1% 1/8W 0805,P78.7KDACT-ND,ERA-6AEB7872V,Panasonic Electronic Components,1,27.2,227.44,889.34,3722.84
    P_R56,"120E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC1206JR-07120RL/311-120ERCT-ND/732162,RES SMD 120 OHM 1% 1/16W 0402,311-120LRCT-ND,RC0402FR-07120RL,Yageo,1,7.56,46.09,188.14,844.76
    Q1,FDN339AN,Package_TO_SOT_SMD:SuperSOT-3,https://www.digikey.com/product-detail/en/on-semiconductor/FDN339AN/FDN339ANCT-ND/965603,MOSFET N-CH 20V 3A SSOT3,FDN339ANCT-ND,FDN339AN,ON Semiconductor,1,30.22,258.42,1791.53,11370.27
    R1,"1KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402 ,P1.0KJCT-ND ,ERJ-2GEJ102X ,Panasonic Electronic ,1,7.56,24.18,97.47,436.74
    R2,"12KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-2AEB123X/P12KDCCT-ND/1706209,RES SMD 12K OHM 0.1% 1/16W 0402,P12KDCCT-ND,ERA-2AEB123X,Panasonic Electronic Components,1,32.49,230.46,923.34,4549.47
">  R3, R4, R47, R49, R54, R131, R132","0E, 0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/vishay-dale/CRCW04020000Z0ED/541-0-0JCT-ND/1182611,RES SMD 0 OHM JUMPER 1/16W 0402,541-0.0JCT-ND,CRCW04020000Z0ED,Vishay Dale,7,7.56,23.42,94.45,424.65
">  R5-R18, R29, R46","1KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402,P1.0KJCT-ND ,ERA-2AEB123X,Panasonic Electronic Components,16,7.56,24.18,97.47,436.74
">  R19-R23, R45","4.7KE, 0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402JR-074K7L/311-4-7KJRCT-ND/726477,RES SMD 4.7K OHM 5% 1/16W 0402,311-4.7KJRCT-ND,RC0402JR-074K7L,Yageo,6,,,,
    R27,"22.1KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERA-6AEB2212V/P22-1KDACT-ND/3075024,RES 22.1K OHM 0.1% 1/8W 0805,P22.1KDACT-ND,ERA-6AEB2212V,Panasonic Electronic Components,1,25.69,217.61,850.81,3560.39
    R28,"124KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-6ENF1243V/P124KCCT-ND/119578,RES SMD 124K OHM 1% 1/8W 0805,P124KCCT-ND,ERJ-6ENF1243V,Panasonic Electronic Components,1,7.56,54.4,207.79,914.28
">  R30-R35, R48, R51, R55, R128-R130","10KE,0805",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,12,7.56,30.22,123.16,552.34
">  R36, R37","200KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.com/product-detail/en/koa-speer-electronics-inc/RN73H1ETTP2003B25/2019-RN73H1ETTP2003B25CT-ND/9916930, RES 200K OHM 0.1% 1/16W 0402 ,2019-RN73H1ETTP2003B25CT-ND ,RN73H1ETTP2003B25,"KOA Speer Electronics, Inc.",2,43.82,312.06,1620.76,8727.18
">  R24-R26, R38, R39, R57-R127","22E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0722RL/311-22-0LRCT-ND/729509,RES SMD 22 OHM 1% 1/16W 0402,311-22.0LRCT-ND,RC0402FR-0722RL,Yageo,76,7.56,12.09,48.36,218.37
">  R40, R41","1KE,0402",Resistor_SMD:R_0805_2012Metric,https://www.digikey.in/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1-0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402,P1.0KJCT-ND ,ERA-2AEB123X,Panasonic Electronic Components,2,7.56,24.18,97.47,436.74
>  R42-R44,"220E,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC1206JR-07120RL/311-120ERCT-ND/732162,RES SMD 120 OHM 1% 1/16W 0402,311-120LRCT-ND,RC0402FR-07120RL,Yageo,3,7.56,46.09,188.14,844.76
    R50,"4.7KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0402JR-074K7L/311-4-7KJRCT-ND/726477,RES SMD 4.7K OHM 5% 1/16W 0402,311-4.7KJRCT-ND,RC0402JR-074K7L,Yageo,1,,,,
    R52,"10KE,0402",Resistor_SMD:R_0402_1005Metric,https://www.digikey.in/product-detail/en/yageo/RC0805FR-0710KL/311-10-0KCRCT-ND/730482,RES SMD 10K OHM 1% 1/8W 0805,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,1,7.56,30.22,123.16,552.34
    SW1,SW_SPST,Aardonyx:SW_toggle_spst_2.54mm,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/TMS6T1B1M1QE/450-2109-ND/5125729,SWITCH TOGGLE SPST 3A 120V,TMS6T1B1M1QE,TMS6T1B1M1QE (2267080-1),TE Connectivity ALCOSWITCH Switches,1,429.94,3875.47,34100.98,284819.64
    SW2,FSM2JSMAATR ,Aardonyx:SW_PUSH_SPST_NO_4.5MM_7MM,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM2JSMAATR/450-1792-1-ND/3503931,SWITCH TACTILE SPST-NO 0.05A 24V,450-1792-1-ND,FSM2JSMAATR,TE Connectivity ALCOSWITCH Switches,1,21.91,212.32,1821.75,NA
    SW3,SW_DIP_x03,Button_Switch_THT:SW_DIP_SPSTx03_Slide_6.7x9.18mm_W7.62mm_P2.54mm_LowProfile,https://www.digikey.com/product-detail/en/w%C3%BCrth-elektronik/418117270903/732-3833-5-ND/3174487,SWITCH SLIDE DIP SPST 25MA 24V,732-3833-5-ND,418117270903,Würth Elektronik,1,94.45,930.9,NA,NA
>  TP1-TP4,TestPoint,TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm,~,,,,,4,0,0,0,0
">  TP5, TP6",TestPoint,TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm,,,,,,2,0,0,0,0
    U1,FT2232H,Package_QFP:LQFP-64_10x10mm_P0.5mm,https://www.digikey.com/product-detail/en/ftdi-future-technology-devices-international-ltd/FT2232HL-REEL/768-1024-1-ND/1986057,IC USB HS DUAL UART/FIFO 64-LQFP,768-1024-1-ND,FT2232HL-REEL,"FTDI, Future Technology Devices International Ltd",1,507.01,4684.72,40802.4,NA
    U2,IS42S32160F-TSOP2,Aardonyx:TSSOP-II-86_10.16x22.2mm_P0.5mm,https://www.digikey.in/product-detail/en/issi-integrated-silicon-solution-inc/IS42S32160F-7TLI/706-1417-5-ND/5319838,IC DRAM 512M PARALLEL 86TSOP II,706-1417-5-ND,IS42S32160F-7TLI,"ISSI, Integrated Silicon Solution Inc",1,1026.86,9507.71,81160.51,719576.01
    U3,CDCE913PW,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://www.digikey.com/product-detail/en/texas-instruments/CDCE913PWR/296-38908-1-ND/5143014,IC PROG PLL VCXO CLK SYN 14TSSOP,296-38908-1-ND,CDCE913PWR,Texas Instruments,1,281.84,2532.02,20745.75,148943.87
    U4,TPS54627DDAR,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,https://www.digikey.in/product-detail/en/texas-instruments/TPS54627DDAR/296-40808-1-ND/5178685,IC REG BUCK ADJUSTABLE 6A 8SOPWR,296-40808-1-ND,TPS54627DDAR,Texas Instruments,1,138.27,1241.45,9369.44,63243.72
    U5,CAT24M01WI-GT3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.in/product-detail/en/on-semiconductor/CAT24M01WI-GT3/CAT24M01WI-GT3OSCT-ND/2698362,IC EEPROM 1M I2C 1MHZ 8SOIC,CAT24M01WI-GT3OSCT-ND,CAT24M01WI-GT3,ON Semiconductor,1,52.14,661.15,5804.52,54654.81
    U6,IS25LP256x-xM,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,https://www.digikey.in/product-detail/en/issi-integrated-silicon-solution-inc/IS25LP256D-JMLE/706-1611-ND/7567432,IC FLASH 256M SPI 133MHZ 16SOIC,706-1611-ND,IS25LP256D-JMLE,"ISSI, Integrated Silicon Solution Inc",1,375.53,3407,29725.3,271186.35
    U7,ADC108S102CIMTX,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.digikey.in/product-detail/en/texas-instruments/ADC108S102CIMTX-NOPB/296-43835-1-ND/5875706,ADC108S102CIMTX/NOPB,296-43835-1-ND,ADC108S102CIMTX/NOPB,Texas Instruments,1,451.09,4051.53,31494.16,226414.78
">  U8, U9",LSF0108PWR,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.digikey.in/product-detail/en/texas-instruments/LSF0108PWR/296-37828-1-ND/4876357,IC TRNSLTR BIDIRECTIONAL 20TSSOP,296-37828-1-ND,LSF0108PWR,Texas Instruments,2,87.65,780.53,6082.58,39669
">  U10, U13",TPS7A7002DDAR,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,https://www.digikey.in/product-detail/en/texas-instruments/TPS7A7002DDAR/296-40977-1-ND/5178854,IC REG LIN POS ADJ 3A 8SO PWRPAD,296-40977-1-ND,TPS7A7002DDAR,Texas Instruments,2,176.81,1586,11968.7,80788.75
">  U11, U12",ADM1085,Package_SO:SC-74-6_1.5x2.9mm_P0.95mm,https://www.mouser.in/ProductDetail/Analog-Devices/ADM1085AKSZ-REEL7?qs=sGAEpiMZZMv9Q1JI0Mo%2FtdiYL5rCVCWC (or)  https://www.digikey.com/product-detail/en/analog-devices-inc/ADM1085AKSZ-REEL7/ADM1085AKSZ-REEL7CT-ND/820429,IC SUPERVISOR 1 CHANNEL SC70-6,ADM1085AKSZ-REEL7CT-ND,ADM1085AKSZ-REEL7,Analog Devices Inc.,2,84.45,717.1,5504,35820
    U14,74AUP1G09GW,Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering,https://www.digikey.in/product-detail/en/nexperia-usa-inc/74AUP1G09GW-125/1727-4492-1-ND/2530869,IC GATE AND 1CH 2-INP 5TSSOP,1727-4492-1-ND,"74AUP1G09GW,125",Nexperia USA Inc.,1,30.22,228.95,1427.33,7510.66
    U15,SKT32E,Aardonyx:SKT32E_IITM,https://gitlab.com/shaktiproject/cores/shakti-soc/-/tree/master/asic/e-class-aardonyx,E class Shakti Processor,NA,SKT32E,SCL / IITM,1,NA,NA,NA,NA
    U16,93LC56BT-I_OT,Package_TO_SOT_SMD:SOT-23-6,https://www.digikey.com/product-detail/en/microchip-technology/93LC56BT-I-OT/93LC56BT-I-OTCT-ND/857632,IC EEPROM 2K SPI 2MHZ SOT23-6,93LC56BT-I/OTCT-ND,93LC56BT-I/OT,Microchip Technology,1,1662.32,NA,1511.2,NA
    Y1,12MHz,Aardonyx:Crystal_SMD_ROHS_CSM_7XDN_HandSoldering,https://www.digikey.in/product-detail/en/ecs-inc/ECS-120-20-5PXDN-TR/XC1298CT-ND/827762,CRYSTAL 12.0000MHZ 20PF SMD,XC1298CT-ND,ECS-120-20-5PXDN-TR,ECS Inc.,1,35.51,296.95,2377.87,NA
    Y2,27MHz,Aardonyx:Crystal_SMD_ROHS_CSM_7XDN_HandSoldering,https://www.digikey.in/product-detail/en/ecs-inc/ECS-270-18-5PX-F-TR/XC1002CT-ND/813243,CRYSTAL 27.0000MHZ 18PF SMD,XC1002CT-ND,ECS-270-18-5PX-F-TR,ECS Inc.,1,37.78,312.06,2493.48,NA
    Y1,,,,,,,,,,,,
    Y2,,,,,,,,,,,,
